image_path,target
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00321.png,28.0
Chars74kDataset/Img\BadImag\Bmp\Sample050\img050-00028.png,49.0
Chars74kDataset/Img\GoodImg\Bmp\Sample039\img039-00059.png,38.0
Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00089.png,23.0
Chars74kDataset/Img\BadImag\Bmp\Sample005\img005-00008.png,4.0
Chars74kDataset/Img\GoodImg\Bmp\Sample002\img002-00067.png,1.0
Chars74kDataset/Img\GoodImg\Bmp\Sample053\img053-00052.png,52.0
Chars74kDataset/Img\BadImag\Bmp\Sample060\img060-00006.png,59.0
Chars74kDataset/Img\BadImag\Bmp\Sample055\img055-00032.png,54.0
Chars74kDataset/Img\GoodImg\Bmp\Sample046\img046-00024.png,45.0
Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00109.png,13.0
Chars74kDataset/Img\BadImag\Bmp\Sample031\img031-00069.png,30.0
Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00183.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample013\img013-00099.png,12.0
Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00049.png,13.0
Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00034.png,18.0
Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00020.png,18.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00160.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00034.png,17.0
Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00199.png,23.0
Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00297.png,23.0
Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00093.png,23.0
Chars74kDataset/Img\BadImag\Bmp\Sample061\img061-00023.png,60.0
Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00249.png,14.0
Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00181.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample046\img046-00027.png,45.0
Chars74kDataset/Img\BadImag\Bmp\Sample002\img002-00038.png,1.0
Chars74kDataset/Img\GoodImg\Bmp\Sample034\img034-00066.png,33.0
Chars74kDataset/Img\BadImag\Bmp\Sample045\img045-00070.png,44.0
Chars74kDataset/Img\BadImag\Bmp\Sample051\img051-00001.png,50.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00049.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00135.png,23.0
Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00018.png,49.0
Chars74kDataset/Img\GoodImg\Bmp\Sample031\img031-00031.png,30.0
Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00129.png,10.0
Chars74kDataset/Img\BadImag\Bmp\Sample031\img031-00044.png,30.0
Chars74kDataset/Img\BadImag\Bmp\Sample045\img045-00016.png,44.0
Chars74kDataset/Img\BadImag\Bmp\Sample016\img016-00055.png,15.0
Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00166.png,18.0
Chars74kDataset/Img\BadImag\Bmp\Sample012\img012-00060.png,11.0
Chars74kDataset/Img\BadImag\Bmp\Sample026\img026-00075.png,25.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00294.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample054\img054-00064.png,53.0
Chars74kDataset/Img\BadImag\Bmp\Sample021\img021-00027.png,20.0
Chars74kDataset/Img\GoodImg\Bmp\Sample059\img059-00004.png,58.0
Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00164.png,27.0
Chars74kDataset/Img\BadImag\Bmp\Sample039\img039-00011.png,38.0
Chars74kDataset/Img\GoodImg\Bmp\Sample061\img061-00040.png,60.0
Chars74kDataset/Img\BadImag\Bmp\Sample022\img022-00095.png,21.0
Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00012.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00245.png,10.0
Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00030.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00128.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00212.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00021.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00084.png,23.0
Chars74kDataset/Img\BadImag\Bmp\Sample002\img002-00005.png,1.0
Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00042.png,23.0
Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00347.png,23.0
Chars74kDataset/Img\BadImag\Bmp\Sample044\img044-00012.png,43.0
Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00115.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample013\img013-00154.png,12.0
Chars74kDataset/Img\GoodImg\Bmp\Sample004\img004-00038.png,3.0
Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00112.png,27.0
Chars74kDataset/Img\BadImag\Bmp\Sample002\img002-00001.png,1.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00269.png,28.0
Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00010.png,13.0
Chars74kDataset/Img\BadImag\Bmp\Sample003\img003-00007.png,2.0
Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00196.png,27.0
Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00086.png,29.0
Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00049.png,50.0
Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00109.png,29.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00268.png,27.0
Chars74kDataset/Img\BadImag\Bmp\Sample017\img017-00003.png,16.0
Chars74kDataset/Img\GoodImg\Bmp\Sample021\img021-00015.png,20.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00454.png,10.0
Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00209.png,18.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00070.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample032\img032-00033.png,31.0
Chars74kDataset/Img\GoodImg\Bmp\Sample004\img004-00005.png,3.0
Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00077.png,17.0
Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00177.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample006\img006-00013.png,5.0
Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00177.png,17.0
Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00133.png,50.0
Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00161.png,17.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00361.png,27.0
Chars74kDataset/Img\BadImag\Bmp\Sample033\img033-00016.png,32.0
Chars74kDataset/Img\BadImag\Bmp\Sample016\img016-00040.png,15.0
Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00062.png,29.0
Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00178.png,18.0
Chars74kDataset/Img\GoodImg\Bmp\Sample053\img053-00019.png,52.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00104.png,27.0
Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00032.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00016.png,18.0
Chars74kDataset/Img\GoodImg\Bmp\Sample045\img045-00028.png,44.0
Chars74kDataset/Img\GoodImg\Bmp\Sample001\img001-00089.png,0.0
Chars74kDataset/Img\BadImag\Bmp\Sample026\img026-00060.png,25.0
Chars74kDataset/Img\GoodImg\Bmp\Sample031\img031-00021.png,30.0
Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00091.png,36.0
Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00164.png,17.0
Chars74kDataset/Img\GoodImg\Bmp\Sample020\img020-00057.png,19.0
Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00036.png,36.0
Chars74kDataset/Img\GoodImg\Bmp\Sample054\img054-00067.png,53.0
Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00190.png,23.0
Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00106.png,13.0
Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00219.png,23.0
Chars74kDataset/Img\GoodImg\Bmp\Sample040\img040-00039.png,39.0
Chars74kDataset/Img\GoodImg\Bmp\Sample042\img042-00020.png,41.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00192.png,10.0
Chars74kDataset/Img\BadImag\Bmp\Sample044\img044-00032.png,43.0
Chars74kDataset/Img\GoodImg\Bmp\Sample055\img055-00044.png,54.0
Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00040.png,17.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00289.png,14.0
Chars74kDataset/Img\BadImag\Bmp\Sample041\img041-00045.png,40.0
Chars74kDataset/Img\GoodImg\Bmp\Sample045\img045-00084.png,44.0
Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00003.png,17.0
Chars74kDataset/Img\BadImag\Bmp\Sample057\img057-00016.png,56.0
Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00189.png,13.0
Chars74kDataset/Img\GoodImg\Bmp\Sample020\img020-00039.png,19.0
Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00042.png,18.0
Chars74kDataset/Img\GoodImg\Bmp\Sample060\img060-00027.png,59.0
Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00068.png,14.0
Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00072.png,13.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00344.png,27.0
Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00222.png,27.0
Chars74kDataset/Img\BadImag\Bmp\Sample023\img023-00084.png,22.0
Chars74kDataset/Img\BadImag\Bmp\Sample048\img048-00029.png,47.0
Chars74kDataset/Img\GoodImg\Bmp\Sample032\img032-00069.png,31.0
Chars74kDataset/Img\GoodImg\Bmp\Sample026\img026-00037.png,25.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00328.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00181.png,10.0
Chars74kDataset/Img\BadImag\Bmp\Sample061\img061-00026.png,60.0
Chars74kDataset/Img\GoodImg\Bmp\Sample036\img036-00013.png,35.0
Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00216.png,10.0
Chars74kDataset/Img\BadImag\Bmp\Sample012\img012-00020.png,11.0
Chars74kDataset/Img\GoodImg\Bmp\Sample043\img043-00004.png,42.0
Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00078.png,24.0
Chars74kDataset/Img\BadImag\Bmp\Sample033\img033-00036.png,32.0
Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00043.png,21.0
Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00022.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00063.png,13.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00006.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00045.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample049\img049-00026.png,48.0
Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00074.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00348.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample036\img036-00003.png,35.0
Chars74kDataset/Img\BadImag\Bmp\Sample031\img031-00054.png,30.0
Chars74kDataset/Img\BadImag\Bmp\Sample001\img001-00022.png,0.0
Chars74kDataset/Img\GoodImg\Bmp\Sample057\img057-00033.png,56.0
Chars74kDataset/Img\GoodImg\Bmp\Sample031\img031-00069.png,30.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00020.png,28.0
Chars74kDataset/Img\BadImag\Bmp\Sample047\img047-00009.png,46.0
Chars74kDataset/Img\GoodImg\Bmp\Sample056\img056-00089.png,55.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00477.png,10.0
Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00161.png,23.0
Chars74kDataset/Img\BadImag\Bmp\Sample048\img048-00070.png,47.0
Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00212.png,27.0
Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00044.png,14.0
Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00023.png,28.0
Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00088.png,23.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00324.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample016\img016-00074.png,15.0
Chars74kDataset/Img\BadImag\Bmp\Sample016\img016-00054.png,15.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00222.png,14.0
Chars74kDataset/Img\BadImag\Bmp\Sample055\img055-00050.png,54.0
Chars74kDataset/Img\GoodImg\Bmp\Sample012\img012-00034.png,11.0
Chars74kDataset/Img\GoodImg\Bmp\Sample059\img059-00035.png,58.0
Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00008.png,29.0
Chars74kDataset/Img\BadImag\Bmp\Sample037\img037-00116.png,36.0
Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00105.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample031\img031-00062.png,30.0
Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00072.png,18.0
Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00028.png,27.0
Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00055.png,23.0
Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00144.png,13.0
Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00046.png,50.0
Chars74kDataset/Img\GoodImg\Bmp\Sample032\img032-00032.png,31.0
Chars74kDataset/Img\BadImag\Bmp\Sample039\img039-00037.png,38.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00076.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00059.png,40.0
Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00171.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample056\img056-00040.png,55.0
Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00355.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample042\img042-00004.png,41.0
Chars74kDataset/Img\GoodImg\Bmp\Sample013\img013-00193.png,12.0
Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00014.png,50.0
Chars74kDataset/Img\GoodImg\Bmp\Sample020\img020-00018.png,19.0
Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00350.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00167.png,28.0
Chars74kDataset/Img\BadImag\Bmp\Sample041\img041-00024.png,40.0
Chars74kDataset/Img\GoodImg\Bmp\Sample007\img007-00031.png,6.0
Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00067.png,18.0
Chars74kDataset/Img\BadImag\Bmp\Sample023\img023-00033.png,22.0
Chars74kDataset/Img\GoodImg\Bmp\Sample026\img026-00090.png,25.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00308.png,28.0
Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00045.png,29.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00108.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample003\img003-00018.png,2.0
Chars74kDataset/Img\BadImag\Bmp\Sample041\img041-00039.png,40.0
Chars74kDataset/Img\GoodImg\Bmp\Sample021\img021-00046.png,20.0
Chars74kDataset/Img\BadImag\Bmp\Sample054\img054-00035.png,53.0
Chars74kDataset/Img\BadImag\Bmp\Sample007\img007-00018.png,6.0
Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00038.png,49.0
Chars74kDataset/Img\GoodImg\Bmp\Sample026\img026-00142.png,25.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00343.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample056\img056-00044.png,55.0
Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00224.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample032\img032-00012.png,31.0
Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00114.png,13.0
Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00212.png,18.0
Chars74kDataset/Img\GoodImg\Bmp\Sample026\img026-00099.png,25.0
Chars74kDataset/Img\BadImag\Bmp\Sample044\img044-00002.png,43.0
Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00080.png,23.0
Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00015.png,29.0
Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00074.png,28.0
Chars74kDataset/Img\BadImag\Bmp\Sample039\img039-00018.png,38.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00136.png,28.0
Chars74kDataset/Img\BadImag\Bmp\Sample017\img017-00015.png,16.0
Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00190.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00148.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00012.png,23.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00153.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00135.png,49.0
Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00156.png,36.0
Chars74kDataset/Img\BadImag\Bmp\Sample045\img045-00022.png,44.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00519.png,10.0
Chars74kDataset/Img\BadImag\Bmp\Sample022\img022-00050.png,21.0
Chars74kDataset/Img\GoodImg\Bmp\Sample003\img003-00004.png,2.0
Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00157.png,13.0
Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00195.png,18.0
Chars74kDataset/Img\BadImag\Bmp\Sample060\img060-00008.png,59.0
Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00046.png,21.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00143.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00094.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00224.png,18.0
Chars74kDataset/Img\BadImag\Bmp\Sample008\img008-00007.png,7.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00255.png,28.0
Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00155.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00012.png,27.0
Chars74kDataset/Img\BadImag\Bmp\Sample054\img054-00002.png,53.0
Chars74kDataset/Img\BadImag\Bmp\Sample013\img013-00039.png,12.0
Chars74kDataset/Img\GoodImg\Bmp\Sample008\img008-00028.png,7.0
Chars74kDataset/Img\BadImag\Bmp\Sample048\img048-00052.png,47.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00418.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample031\img031-00088.png,30.0
Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00026.png,36.0
Chars74kDataset/Img\GoodImg\Bmp\Sample056\img056-00108.png,55.0
Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00023.png,40.0
Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00197.png,18.0
Chars74kDataset/Img\BadImag\Bmp\Sample022\img022-00016.png,21.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00263.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample039\img039-00030.png,38.0
Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00284.png,18.0
Chars74kDataset/Img\BadImag\Bmp\Sample040\img040-00012.png,39.0
Chars74kDataset/Img\BadImag\Bmp\Sample056\img056-00009.png,55.0
Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00119.png,29.0
Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00104.png,29.0
Chars74kDataset/Img\GoodImg\Bmp\Sample054\img054-00033.png,53.0
Chars74kDataset/Img\GoodImg\Bmp\Sample026\img026-00065.png,25.0
Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00098.png,18.0
Chars74kDataset/Img\GoodImg\Bmp\Sample032\img032-00010.png,31.0
Chars74kDataset/Img\GoodImg\Bmp\Sample045\img045-00022.png,44.0
Chars74kDataset/Img\BadImag\Bmp\Sample037\img037-00008.png,36.0
Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00061.png,17.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00499.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample033\img033-00035.png,32.0
Chars74kDataset/Img\BadImag\Bmp\Sample050\img050-00023.png,49.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00325.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00268.png,23.0
Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00003.png,13.0
Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00218.png,18.0
Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00040.png,18.0
Chars74kDataset/Img\BadImag\Bmp\Sample013\img013-00064.png,12.0
Chars74kDataset/Img\BadImag\Bmp\Sample018\img018-00071.png,17.0
Chars74kDataset/Img\GoodImg\Bmp\Sample054\img054-00070.png,53.0
Chars74kDataset/Img\GoodImg\Bmp\Sample045\img045-00030.png,44.0
Chars74kDataset/Img\BadImag\Bmp\Sample004\img004-00016.png,3.0
Chars74kDataset/Img\BadImag\Bmp\Sample057\img057-00025.png,56.0
Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00189.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00128.png,13.0
Chars74kDataset/Img\BadImag\Bmp\Sample048\img048-00081.png,47.0
Chars74kDataset/Img\GoodImg\Bmp\Sample008\img008-00020.png,7.0
Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00035.png,17.0
Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00090.png,49.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00470.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample033\img033-00053.png,32.0
Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00042.png,40.0
Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00194.png,29.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00026.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample054\img054-00016.png,53.0
Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00152.png,17.0
Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00015.png,13.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00046.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00055.png,36.0
Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00004.png,40.0
Chars74kDataset/Img\GoodImg\Bmp\Sample048\img048-00017.png,47.0
Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00099.png,14.0
Chars74kDataset/Img\BadImag\Bmp\Sample026\img026-00033.png,25.0
Chars74kDataset/Img\BadImag\Bmp\Sample010\img010-00013.png,9.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00013.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00156.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample017\img017-00089.png,16.0
Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00136.png,14.0
Chars74kDataset/Img\BadImag\Bmp\Sample002\img002-00015.png,1.0
Chars74kDataset/Img\BadImag\Bmp\Sample023\img023-00020.png,22.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00176.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00086.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample026\img026-00006.png,25.0
Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00233.png,23.0
Chars74kDataset/Img\GoodImg\Bmp\Sample007\img007-00029.png,6.0
Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00041.png,13.0
Chars74kDataset/Img\BadImag\Bmp\Sample003\img003-00043.png,2.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00374.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00113.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00065.png,17.0
Chars74kDataset/Img\GoodImg\Bmp\Sample026\img026-00038.png,25.0
Chars74kDataset/Img\BadImag\Bmp\Sample061\img061-00011.png,60.0
Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00120.png,49.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00160.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00215.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00250.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00048.png,50.0
Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00209.png,24.0
Chars74kDataset/Img\GoodImg\Bmp\Sample007\img007-00008.png,6.0
Chars74kDataset/Img\BadImag\Bmp\Sample039\img039-00038.png,38.0
Chars74kDataset/Img\BadImag\Bmp\Sample009\img009-00003.png,8.0
Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00120.png,24.0
Chars74kDataset/Img\BadImag\Bmp\Sample023\img023-00059.png,22.0
Chars74kDataset/Img\GoodImg\Bmp\Sample020\img020-00049.png,19.0
Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00274.png,29.0
Chars74kDataset/Img\BadImag\Bmp\Sample052\img052-00032.png,51.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00203.png,28.0
Chars74kDataset/Img\BadImag\Bmp\Sample004\img004-00012.png,3.0
Chars74kDataset/Img\GoodImg\Bmp\Sample039\img039-00020.png,38.0
Chars74kDataset/Img\GoodImg\Bmp\Sample017\img017-00015.png,16.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00144.png,27.0
Chars74kDataset/Img\BadImag\Bmp\Sample037\img037-00041.png,36.0
Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00035.png,36.0
Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00240.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00075.png,14.0
Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00058.png,18.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00536.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample057\img057-00028.png,56.0
Chars74kDataset/Img\BadImag\Bmp\Sample037\img037-00111.png,36.0
Chars74kDataset/Img\GoodImg\Bmp\Sample008\img008-00016.png,7.0
Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00284.png,27.0
Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00079.png,40.0
Chars74kDataset/Img\BadImag\Bmp\Sample026\img026-00035.png,25.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00111.png,14.0
Chars74kDataset/Img\BadImag\Bmp\Sample055\img055-00005.png,54.0
Chars74kDataset/Img\GoodImg\Bmp\Sample040\img040-00015.png,39.0
