,image_path,target
1393,Chars74kDataset/Img\GoodImg\Bmp\Sample013\img013-00100.png,2.0
10756,Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00057.png,18.0
12006,Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00097.png,4.0
5313,Chars74kDataset/Img\GoodImg\Bmp\Sample048\img048-00041.png,11.0
9386,Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00112.png,19.0
8139,Chars74kDataset/Img\BadImag\Bmp\Sample048\img048-00016.png,11.0
10882,Chars74kDataset/Img\GoodImg\Bmp\Sample053\img053-00037.png,16.0
2381,Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00195.png,8.0
11683,Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00007.png,18.0
6360,Chars74kDataset/Img\GoodImg\Bmp\Sample012\img012-00002.png,1.0
4440,Chars74kDataset/Img\BadImag\Bmp\Sample045\img045-00037.png,8.0
11055,Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00315.png,13.0
8817,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00319.png,4.0
947,Chars74kDataset/Img\GoodImg\Bmp\Sample040\img040-00029.png,3.0
4268,Chars74kDataset/Img\BadImag\Bmp\Sample026\img026-00086.png,15.0
5874,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00196.png,0.0
5804,Chars74kDataset/Img\GoodImg\Bmp\Sample056\img056-00022.png,19.0
10454,Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00262.png,13.0
318,Chars74kDataset/Img\GoodImg\Bmp\Sample013\img013-00145.png,2.0
3838,Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00020.png,19.0
2018,Chars74kDataset/Img\BadImag\Bmp\Sample054\img054-00071.png,17.0
2516,Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00319.png,13.0
1582,Chars74kDataset/Img\BadImag\Bmp\Sample023\img023-00013.png,12.0
9545,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00030.png,14.0
1956,Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00086.png,0.0
5073,Chars74kDataset/Img\BadImag\Bmp\Sample045\img045-00106.png,8.0
11622,Chars74kDataset/Img\GoodImg\Bmp\Sample035\img035-00010.png,24.0
9087,Chars74kDataset/Img\GoodImg\Bmp\Sample047\img047-00029.png,10.0
11577,Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00026.png,14.0
816,Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00126.png,8.0
5552,Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00093.png,13.0
2234,Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00133.png,14.0
3439,Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00187.png,7.0
3205,Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00056.png,18.0
11771,Chars74kDataset/Img\GoodImg\Bmp\Sample055\img055-00037.png,18.0
8816,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00082.png,0.0
11553,Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00059.png,0.0
1743,Chars74kDataset/Img\GoodImg\Bmp\Sample033\img033-00008.png,22.0
7615,Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00066.png,8.0
1415,Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00095.png,8.0
8378,Chars74kDataset/Img\GoodImg\Bmp\Sample060\img060-00010.png,23.0
1838,Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00134.png,14.0
10143,Chars74kDataset/Img\BadImag\Bmp\Sample016\img016-00023.png,5.0
3538,Chars74kDataset/Img\GoodImg\Bmp\Sample013\img013-00082.png,2.0
8537,Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00110.png,4.0
6359,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00068.png,0.0
12403,Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00150.png,4.0
11455,Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00088.png,4.0
184,Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00001.png,3.0
6213,Chars74kDataset/Img\GoodImg\Bmp\Sample048\img048-00002.png,11.0
4048,Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00038.png,7.0
12214,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00240.png,4.0
6961,Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00173.png,18.0
8301,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00338.png,0.0
10222,Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00133.png,7.0
228,Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00108.png,7.0
6631,Chars74kDataset/Img\BadImag\Bmp\Sample013\img013-00070.png,2.0
2419,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00325.png,0.0
8356,Chars74kDataset/Img\GoodImg\Bmp\Sample054\img054-00030.png,17.0
9417,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00295.png,14.0
689,Chars74kDataset/Img\BadImag\Bmp\Sample034\img034-00006.png,23.0
697,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00150.png,0.0
8836,Chars74kDataset/Img\GoodImg\Bmp\Sample027\img027-00014.png,16.0
8275,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00005.png,14.0
11699,Chars74kDataset/Img\GoodImg\Bmp\Sample012\img012-00067.png,1.0
6372,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00282.png,0.0
5805,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00028.png,0.0
11812,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00188.png,14.0
2140,Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00061.png,4.0
8982,Chars74kDataset/Img\BadImag\Bmp\Sample056\img056-00037.png,19.0
4601,Chars74kDataset/Img\GoodImg\Bmp\Sample033\img033-00015.png,22.0
2957,Chars74kDataset/Img\GoodImg\Bmp\Sample042\img042-00037.png,5.0
10768,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00335.png,0.0
6155,Chars74kDataset/Img\GoodImg\Bmp\Sample026\img026-00040.png,15.0
10755,Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00157.png,19.0
12419,Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00017.png,13.0
9089,Chars74kDataset/Img\BadImag\Bmp\Sample056\img056-00054.png,19.0
11046,Chars74kDataset/Img\GoodImg\Bmp\Sample039\img039-00051.png,2.0
11845,Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00129.png,19.0
7344,Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00152.png,18.0
852,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00003.png,4.0
11153,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00511.png,0.0
6243,Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00180.png,17.0
8218,Chars74kDataset/Img\GoodImg\Bmp\Sample026\img026-00021.png,15.0
11531,Chars74kDataset/Img\BadImag\Bmp\Sample055\img055-00013.png,18.0
1957,Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00104.png,0.0
425,Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00108.png,4.0
2507,Chars74kDataset/Img\BadImag\Bmp\Sample039\img039-00010.png,2.0
7882,Chars74kDataset/Img\BadImag\Bmp\Sample013\img013-00042.png,2.0
4417,Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00068.png,3.0
3464,Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00112.png,13.0
9418,Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00173.png,17.0
4289,Chars74kDataset/Img\GoodImg\Bmp\Sample020\img020-00024.png,9.0
2315,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00222.png,4.0
8328,Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00258.png,18.0
5064,Chars74kDataset/Img\GoodImg\Bmp\Sample053\img053-00014.png,16.0
11865,Chars74kDataset/Img\GoodImg\Bmp\Sample061\img061-00032.png,24.0
4183,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00027.png,0.0
104,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00072.png,0.0
8196,Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00100.png,13.0
11571,Chars74kDataset/Img\BadImag\Bmp\Sample034\img034-00003.png,23.0
7533,Chars74kDataset/Img\BadImag\Bmp\Sample018\img018-00093.png,7.0
7061,Chars74kDataset/Img\BadImag\Bmp\Sample041\img041-00033.png,4.0
10469,Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00099.png,17.0
1392,Chars74kDataset/Img\BadImag\Bmp\Sample044\img044-00035.png,7.0
8381,Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00331.png,17.0
11140,Chars74kDataset/Img\GoodImg\Bmp\Sample042\img042-00034.png,5.0
4434,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00093.png,14.0
555,Chars74kDataset/Img\BadImag\Bmp\Sample041\img041-00072.png,4.0
9869,Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00057.png,8.0
998,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00048.png,4.0
10058,Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00048.png,19.0
10804,Chars74kDataset/Img\BadImag\Bmp\Sample040\img040-00013.png,3.0
1513,Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00226.png,13.0
9944,Chars74kDataset/Img\GoodImg\Bmp\Sample054\img054-00096.png,17.0
5947,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00260.png,4.0
10286,Chars74kDataset/Img\GoodImg\Bmp\Sample012\img012-00048.png,1.0
11979,Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00131.png,7.0
3742,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00125.png,4.0
930,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00118.png,4.0
6664,Chars74kDataset/Img\BadImag\Bmp\Sample013\img013-00098.png,2.0
895,Chars74kDataset/Img\BadImag\Bmp\Sample018\img018-00041.png,7.0
3401,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00325.png,4.0
5504,Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00138.png,14.0
7751,Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00019.png,17.0
12266,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00125.png,0.0
8009,Chars74kDataset/Img\GoodImg\Bmp\Sample012\img012-00035.png,1.0
8767,Chars74kDataset/Img\GoodImg\Bmp\Sample017\img017-00142.png,6.0
9128,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00359.png,0.0
1747,Chars74kDataset/Img\BadImag\Bmp\Sample016\img016-00036.png,5.0
5045,Chars74kDataset/Img\GoodImg\Bmp\Sample013\img013-00211.png,2.0
6605,Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00115.png,14.0
3612,Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00172.png,18.0
8555,Chars74kDataset/Img\BadImag\Bmp\Sample021\img021-00015.png,10.0
10562,Chars74kDataset/Img\GoodImg\Bmp\Sample055\img055-00087.png,18.0
10337,Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00027.png,8.0
5886,Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00173.png,8.0
9206,Chars74kDataset/Img\BadImag\Bmp\Sample057\img057-00026.png,20.0
6764,Chars74kDataset/Img\GoodImg\Bmp\Sample023\img023-00029.png,12.0
11376,Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00043.png,19.0
4085,Chars74kDataset/Img\BadImag\Bmp\Sample026\img026-00030.png,15.0
8951,Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00179.png,13.0
6231,Chars74kDataset/Img\GoodImg\Bmp\Sample012\img012-00031.png,1.0
7697,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00278.png,14.0
10164,Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00142.png,14.0
3321,Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00170.png,13.0
5152,Chars74kDataset/Img\BadImag\Bmp\Sample052\img052-00008.png,15.0
8848,Chars74kDataset/Img\BadImag\Bmp\Sample037\img037-00035.png,0.0
955,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00234.png,4.0
5691,Chars74kDataset/Img\BadImag\Bmp\Sample049\img049-00026.png,12.0
11729,Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00294.png,13.0
4800,Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00241.png,19.0
458,Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00054.png,13.0
7044,Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00241.png,8.0
8188,Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00345.png,13.0
9353,Chars74kDataset/Img\BadImag\Bmp\Sample035\img035-00017.png,24.0
6942,Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00129.png,14.0
4841,Chars74kDataset/Img\BadImag\Bmp\Sample045\img045-00099.png,8.0
10714,Chars74kDataset/Img\GoodImg\Bmp\Sample034\img034-00048.png,23.0
3127,Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00049.png,13.0
11640,Chars74kDataset/Img\GoodImg\Bmp\Sample060\img060-00033.png,23.0
3297,Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00127.png,18.0
11824,Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00008.png,4.0
1939,Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00260.png,19.0
8453,Chars74kDataset/Img\BadImag\Bmp\Sample048\img048-00078.png,11.0
1826,Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00191.png,8.0
12054,Chars74kDataset/Img\GoodImg\Bmp\Sample055\img055-00016.png,18.0
3547,Chars74kDataset/Img\BadImag\Bmp\Sample043\img043-00023.png,6.0
11630,Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00080.png,17.0
6014,Chars74kDataset/Img\GoodImg\Bmp\Sample033\img033-00002.png,22.0
4698,Chars74kDataset/Img\BadImag\Bmp\Sample049\img049-00021.png,12.0
1308,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00077.png,4.0
7559,Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00076.png,3.0
3273,Chars74kDataset/Img\BadImag\Bmp\Sample029\img029-00188.png,18.0
7063,Chars74kDataset/Img\BadImag\Bmp\Sample022\img022-00110.png,11.0
1028,Chars74kDataset/Img\GoodImg\Bmp\Sample013\img013-00069.png,2.0
3352,Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00243.png,8.0
5704,Chars74kDataset/Img\BadImag\Bmp\Sample017\img017-00034.png,6.0
5929,Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00075.png,19.0
3222,Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00191.png,7.0
10626,Chars74kDataset/Img\GoodImg\Bmp\Sample033\img033-00040.png,22.0
5738,Chars74kDataset/Img\GoodImg\Bmp\Sample016\img016-00063.png,5.0
9896,Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00094.png,14.0
10473,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00068.png,14.0
7293,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00254.png,0.0
9787,Chars74kDataset/Img\GoodImg\Bmp\Sample057\img057-00027.png,20.0
4969,Chars74kDataset/Img\GoodImg\Bmp\Sample027\img027-00029.png,16.0
1056,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00081.png,0.0
685,Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00259.png,18.0
601,Chars74kDataset/Img\GoodImg\Bmp\Sample056\img056-00057.png,19.0
6793,Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00007.png,19.0
7756,Chars74kDataset/Img\BadImag\Bmp\Sample022\img022-00079.png,11.0
12485,Chars74kDataset/Img\GoodImg\Bmp\Sample054\img054-00050.png,17.0
7913,Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00026.png,17.0
4879,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00088.png,0.0
2602,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00191.png,0.0
9474,Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00074.png,13.0
172,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00040.png,14.0
6613,Chars74kDataset/Img\BadImag\Bmp\Sample013\img013-00053.png,2.0
4477,Chars74kDataset/Img\BadImag\Bmp\Sample037\img037-00152.png,0.0
11092,Chars74kDataset/Img\BadImag\Bmp\Sample054\img054-00098.png,17.0
4300,Chars74kDataset/Img\BadImag\Bmp\Sample039\img039-00007.png,2.0
10751,Chars74kDataset/Img\BadImag\Bmp\Sample022\img022-00046.png,11.0
12420,Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00176.png,7.0
8314,Chars74kDataset/Img\GoodImg\Bmp\Sample023\img023-00036.png,12.0
7819,Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00040.png,11.0
1912,Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00074.png,11.0
4287,Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00048.png,8.0
5176,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00187.png,4.0
202,Chars74kDataset/Img\BadImag\Bmp\Sample055\img055-00046.png,18.0
4034,Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00005.png,18.0
1303,Chars74kDataset/Img\BadImag\Bmp\Sample052\img052-00023.png,15.0
12223,Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00339.png,18.0
1521,Chars74kDataset/Img\GoodImg\Bmp\Sample049\img049-00036.png,12.0
6877,Chars74kDataset/Img\GoodImg\Bmp\Sample031\img031-00018.png,20.0
4012,Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00208.png,4.0
4536,Chars74kDataset/Img\BadImag\Bmp\Sample045\img045-00086.png,8.0
5559,Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00291.png,19.0
9161,Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00124.png,17.0
10354,Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00379.png,17.0
8552,Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00147.png,4.0
3523,Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00336.png,13.0
7065,Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00080.png,7.0
10909,Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00105.png,18.0
2831,Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00186.png,4.0
11762,Chars74kDataset/Img\BadImag\Bmp\Sample031\img031-00048.png,20.0
5966,Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00099.png,4.0
360,Chars74kDataset/Img\BadImag\Bmp\Sample022\img022-00088.png,11.0
3020,Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00121.png,8.0
8031,Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00074.png,17.0
7224,Chars74kDataset/Img\GoodImg\Bmp\Sample023\img023-00091.png,12.0
12170,Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00168.png,14.0
7742,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00194.png,14.0
8384,Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00070.png,17.0
5420,Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00014.png,7.0
8808,Chars74kDataset/Img\BadImag\Bmp\Sample037\img037-00097.png,0.0
1943,Chars74kDataset/Img\BadImag\Bmp\Sample031\img031-00063.png,20.0
3275,Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00045.png,13.0
5191,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00435.png,0.0
3965,Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00170.png,3.0
2028,Chars74kDataset/Img\BadImag\Bmp\Sample041\img041-00028.png,4.0
9390,Chars74kDataset/Img\GoodImg\Bmp\Sample039\img039-00021.png,2.0
12493,Chars74kDataset/Img\BadImag\Bmp\Sample018\img018-00098.png,7.0
3613,Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00185.png,19.0
906,Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00031.png,18.0
9822,Chars74kDataset/Img\GoodImg\Bmp\Sample037\img037-00050.png,0.0
2068,Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00086.png,14.0
5076,Chars74kDataset/Img\GoodImg\Bmp\Sample033\img033-00019.png,22.0
10228,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00317.png,0.0
10654,Chars74kDataset/Img\BadImag\Bmp\Sample045\img045-00072.png,8.0
5117,Chars74kDataset/Img\GoodImg\Bmp\Sample016\img016-00010.png,5.0
4501,Chars74kDataset/Img\BadImag\Bmp\Sample018\img018-00052.png,7.0
9493,Chars74kDataset/Img\BadImag\Bmp\Sample039\img039-00005.png,2.0
387,Chars74kDataset/Img\GoodImg\Bmp\Sample054\img054-00098.png,17.0
5102,Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00099.png,8.0
8076,Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00244.png,13.0
7704,Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00225.png,4.0
915,Chars74kDataset/Img\GoodImg\Bmp\Sample035\img035-00035.png,24.0
4234,Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00184.png,7.0
12077,Chars74kDataset/Img\GoodImg\Bmp\Sample012\img012-00050.png,1.0
7804,Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00196.png,19.0
8213,Chars74kDataset/Img\GoodImg\Bmp\Sample020\img020-00062.png,9.0
8733,Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00006.png,14.0
9781,Chars74kDataset/Img\BadImag\Bmp\Sample055\img055-00039.png,18.0
3022,Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00022.png,18.0
4830,Chars74kDataset/Img\BadImag\Bmp\Sample020\img020-00006.png,9.0
5982,Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00061.png,11.0
2995,Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00083.png,13.0
7518,Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00037.png,19.0
1033,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00105.png,4.0
10449,Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00016.png,14.0
847,Chars74kDataset/Img\BadImag\Bmp\Sample045\img045-00094.png,8.0
2671,Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00063.png,3.0
846,Chars74kDataset/Img\GoodImg\Bmp\Sample021\img021-00070.png,10.0
4826,Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00135.png,8.0
2949,Chars74kDataset/Img\BadImag\Bmp\Sample017\img017-00021.png,6.0
6619,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00128.png,0.0
9114,Chars74kDataset/Img\GoodImg\Bmp\Sample056\img056-00106.png,19.0
10645,Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00134.png,13.0
10179,Chars74kDataset/Img\GoodImg\Bmp\Sample048\img048-00045.png,11.0
2770,Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00096.png,8.0
4052,Chars74kDataset/Img\GoodImg\Bmp\Sample023\img023-00120.png,12.0
1145,Chars74kDataset/Img\GoodImg\Bmp\Sample026\img026-00026.png,15.0
11306,Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00064.png,8.0
6200,Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00126.png,19.0
7947,Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00071.png,17.0
9471,Chars74kDataset/Img\BadImag\Bmp\Sample013\img013-00004.png,2.0
3769,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00096.png,0.0
2466,Chars74kDataset/Img\GoodImg\Bmp\Sample018\img018-00065.png,7.0
12222,Chars74kDataset/Img\BadImag\Bmp\Sample026\img026-00031.png,15.0
7543,Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00155.png,13.0
3119,Chars74kDataset/Img\BadImag\Bmp\Sample041\img041-00021.png,4.0
4805,Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00001.png,19.0
12217,Chars74kDataset/Img\BadImag\Bmp\Sample025\img025-00053.png,14.0
6800,Chars74kDataset/Img\BadImag\Bmp\Sample022\img022-00082.png,11.0
1519,Chars74kDataset/Img\BadImag\Bmp\Sample041\img041-00120.png,4.0
10399,Chars74kDataset/Img\GoodImg\Bmp\Sample017\img017-00131.png,6.0
1436,Chars74kDataset/Img\GoodImg\Bmp\Sample023\img023-00145.png,12.0
4844,Chars74kDataset/Img\BadImag\Bmp\Sample031\img031-00015.png,20.0
231,Chars74kDataset/Img\GoodImg\Bmp\Sample031\img031-00086.png,20.0
4995,Chars74kDataset/Img\BadImag\Bmp\Sample014\img014-00108.png,3.0
6338,Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00045.png,18.0
12255,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00290.png,14.0
395,Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00193.png,19.0
1930,Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00075.png,11.0
10890,Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00046.png,18.0
7917,Chars74kDataset/Img\BadImag\Bmp\Sample012\img012-00033.png,1.0
8692,Chars74kDataset/Img\GoodImg\Bmp\Sample013\img013-00121.png,2.0
8091,Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00170.png,13.0
11378,Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00109.png,17.0
10012,Chars74kDataset/Img\BadImag\Bmp\Sample040\img040-00018.png,3.0
11451,Chars74kDataset/Img\GoodImg\Bmp\Sample014\img014-00107.png,3.0
3085,Chars74kDataset/Img\BadImag\Bmp\Sample018\img018-00078.png,7.0
5727,Chars74kDataset/Img\BadImag\Bmp\Sample018\img018-00011.png,7.0
11690,Chars74kDataset/Img\BadImag\Bmp\Sample050\img050-00100.png,13.0
6748,Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00083.png,4.0
11842,Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00044.png,8.0
1417,Chars74kDataset/Img\BadImag\Bmp\Sample041\img041-00091.png,4.0
8577,Chars74kDataset/Img\GoodImg\Bmp\Sample012\img012-00103.png,1.0
9719,Chars74kDataset/Img\BadImag\Bmp\Sample026\img026-00072.png,15.0
4140,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00090.png,0.0
5721,Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00267.png,13.0
11101,Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00002.png,17.0
3213,Chars74kDataset/Img\GoodImg\Bmp\Sample044\img044-00033.png,7.0
4952,Chars74kDataset/Img\BadImag\Bmp\Sample022\img022-00085.png,11.0
10435,Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00032.png,18.0
9628,Chars74kDataset/Img\BadImag\Bmp\Sample045\img045-00092.png,8.0
3980,Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00162.png,4.0
11878,Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00131.png,13.0
